/home/chunyulin/anaconda3/envs/offline_rl/lib/python3.10/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
  3%|███▊                                                                                                                     | 31/1000 [06:44<3:35:23, 13.34s/it]
Episode 184: ELoss: 6283.72, Recon Loss: 0.32, SAC Loss: 6283.40, Reward: -462.66
Episode 185: ELoss: 6252.27, Recon Loss: 0.31, SAC Loss: 6251.96, Reward: -461.62
Episode 186: ELoss: 6246.11, Recon Loss: 0.31, SAC Loss: 6245.80, Reward: -461.62
Episode 187: ELoss: 6315.92, Recon Loss: 0.31, SAC Loss: 6315.61, Reward: -461.12
Episode 188: ELoss: 6352.28, Recon Loss: 0.31, SAC Loss: 6351.98, Reward: -462.26
Episode 189: ELoss: 6337.09, Recon Loss: 0.30, SAC Loss: 6336.78, Reward: -461.83
Episode 190: ELoss: 6389.47, Recon Loss: 0.30, SAC Loss: 6389.16, Reward: -461.27
Episode 191: ELoss: 6436.83, Recon Loss: 0.30, SAC Loss: 6436.53, Reward: -461.69
Episode 192: ELoss: 6413.37, Recon Loss: 0.30, SAC Loss: 6413.07, Reward: -460.33
Episode 193: ELoss: 6502.89, Recon Loss: 0.30, SAC Loss: 6502.59, Reward: -461.99
Episode 194: ELoss: 6506.57, Recon Loss: 0.30, SAC Loss: 6506.28, Reward: -459.75
Episode 195: ELoss: 6501.04, Recon Loss: 0.29, SAC Loss: 6500.75, Reward: -459.68
Episode 196: ELoss: 6500.69, Recon Loss: 0.29, SAC Loss: 6500.40, Reward: -459.36
Episode 197: ELoss: 6548.21, Recon Loss: 0.29, SAC Loss: 6547.92, Reward: -458.70
Episode 198: ELoss: 6613.95, Recon Loss: 0.29, SAC Loss: 6613.67, Reward: -458.37
Episode 199: ELoss: 6594.38, Recon Loss: 0.28, SAC Loss: 6594.10, Reward: -457.20
Episode 200: ELoss: 6605.11, Recon Loss: 0.28, SAC Loss: 6604.83, Reward: -458.68
Episode 201: ELoss: 6646.74, Recon Loss: 0.28, SAC Loss: 6646.46, Reward: -460.06
Episode 202: ELoss: 6602.35, Recon Loss: 0.28, SAC Loss: 6602.07, Reward: -460.28
Episode 203: ELoss: 6683.05, Recon Loss: 0.28, SAC Loss: 6682.77, Reward: -459.40
Episode 204: ELoss: 6733.85, Recon Loss: 0.27, SAC Loss: 6733.57, Reward: -459.17
Episode 205: ELoss: 6705.60, Recon Loss: 0.27, SAC Loss: 6705.33, Reward: -458.93
Episode 206: ELoss: 6759.36, Recon Loss: 0.27, SAC Loss: 6759.09, Reward: -458.99
Episode 207: ELoss: 6779.01, Recon Loss: 0.27, SAC Loss: 6778.74, Reward: -459.35
Episode 208: ELoss: 6802.00, Recon Loss: 0.27, SAC Loss: 6801.73, Reward: -457.31
Episode 209: ELoss: 6833.70, Recon Loss: 0.27, SAC Loss: 6833.43, Reward: -458.14
Episode 210: ELoss: 6882.08, Recon Loss: 0.26, SAC Loss: 6881.81, Reward: -458.68
Episode 211: ELoss: 6867.24, Recon Loss: 0.26, SAC Loss: 6866.98, Reward: -460.05
Episode 212: ELoss: 6887.00, Recon Loss: 0.26, SAC Loss: 6886.74, Reward: -458.94
Episode 213: ELoss: 6837.14, Recon Loss: 0.26, SAC Loss: 6836.88, Reward: -459.59
Episode 214: ELoss: 6933.73, Recon Loss: 0.26, SAC Loss: 6933.47, Reward: -458.12
Episode 215: ELoss: 6938.64, Recon Loss: 0.26, SAC Loss: 6938.38, Reward: -457.69
Episode 216: ELoss: 6911.23, Recon Loss: 0.26, SAC Loss: 6910.98, Reward: -458.94
Episode 217: ELoss: 6957.77, Recon Loss: 0.25, SAC Loss: 6957.52, Reward: -459.11
Episode 218: ELoss: 7006.26, Recon Loss: 0.25, SAC Loss: 7006.01, Reward: -458.97
Episode 219: ELoss: 7003.99, Recon Loss: 0.25, SAC Loss: 7003.74, Reward: -459.02
Episode 220: ELoss: 7023.76, Recon Loss: 0.25, SAC Loss: 7023.51, Reward: -459.96
Episode 221: ELoss: 7090.70, Recon Loss: 0.25, SAC Loss: 7090.46, Reward: -460.36
Episode 222: ELoss: 7082.61, Recon Loss: 0.25, SAC Loss: 7082.37, Reward: -461.66
Episode 223: ELoss: 7100.39, Recon Loss: 0.25, SAC Loss: 7100.15, Reward: -461.53
Episode 224: ELoss: 7077.79, Recon Loss: 0.24, SAC Loss: 7077.55, Reward: -460.89
Episode 225: ELoss: 7146.10, Recon Loss: 0.24, SAC Loss: 7145.86, Reward: -460.85
Episode 226: ELoss: 7128.91, Recon Loss: 0.24, SAC Loss: 7128.67, Reward: -459.89
Episode 227: ELoss: 7163.16, Recon Loss: 0.24, SAC Loss: 7162.92, Reward: -459.73
Episode 228: ELoss: 7164.15, Recon Loss: 0.24, SAC Loss: 7163.91, Reward: -460.47
Episode 229: ELoss: 7200.59, Recon Loss: 0.24, SAC Loss: 7200.35, Reward: -460.66
Episode 230: ELoss: 7222.67, Recon Loss: 0.24, SAC Loss: 7222.43, Reward: -460.86
Episode 231: ELoss: 7225.27, Recon Loss: 0.23, SAC Loss: 7225.04, Reward: -460.86
Episode 232: ELoss: 7247.61, Recon Loss: 0.23, SAC Loss: 7247.38, Reward: -461.31
Episode 233: ELoss: 7326.72, Recon Loss: 0.23, SAC Loss: 7326.48, Reward: -461.74
Episode 234: ELoss: 7255.24, Recon Loss: 0.23, SAC Loss: 7255.01, Reward: -461.57
Episode 235: ELoss: 7273.52, Recon Loss: 0.23, SAC Loss: 7273.29, Reward: -465.12
Episode 236: ELoss: 7312.80, Recon Loss: 0.23, SAC Loss: 7312.57, Reward: -464.46
Episode 237: ELoss: 7312.50, Recon Loss: 0.23, SAC Loss: 7312.27, Reward: -464.37
Episode 238: ELoss: 7332.60, Recon Loss: 0.23, SAC Loss: 7332.37, Reward: -463.43
Episode 239: ELoss: 7377.19, Recon Loss: 0.23, SAC Loss: 7376.97, Reward: -461.46
Episode 240: ELoss: 7344.15, Recon Loss: 0.22, SAC Loss: 7343.93, Reward: -461.47
Episode 241: ELoss: 7382.00, Recon Loss: 0.22, SAC Loss: 7381.78, Reward: -461.83
Episode 242: ELoss: 7343.70, Recon Loss: 0.22, SAC Loss: 7343.48, Reward: -461.02
Episode 243: ELoss: 7373.15, Recon Loss: 0.22, SAC Loss: 7372.93, Reward: -460.85
Episode 244: ELoss: 7398.35, Recon Loss: 0.22, SAC Loss: 7398.14, Reward: -460.22
Episode 245: ELoss: 7441.15, Recon Loss: 0.22, SAC Loss: 7440.93, Reward: -459.61
Episode 246: ELoss: 7447.12, Recon Loss: 0.22, SAC Loss: 7446.90, Reward: -459.93
Episode 247: ELoss: 7469.03, Recon Loss: 0.22, SAC Loss: 7468.81, Reward: -461.98
Episode 248: ELoss: 7474.27, Recon Loss: 0.22, SAC Loss: 7474.06, Reward: -463.36
Episode 249: ELoss: 7434.67, Recon Loss: 0.21, SAC Loss: 7434.46, Reward: -464.93
Episode 250: ELoss: 7459.61, Recon Loss: 0.21, SAC Loss: 7459.39, Reward: -464.91
Episode 251: ELoss: 7449.62, Recon Loss: 0.21, SAC Loss: 7449.41, Reward: -463.72
Episode 252: ELoss: 7503.36, Recon Loss: 0.21, SAC Loss: 7503.15, Reward: -464.12
Episode 253: ELoss: 7563.03, Recon Loss: 0.21, SAC Loss: 7562.82, Reward: -464.30
Episode 254: ELoss: 7496.69, Recon Loss: 0.21, SAC Loss: 7496.48, Reward: -465.45
Episode 255: ELoss: 7519.93, Recon Loss: 0.21, SAC Loss: 7519.72, Reward: -465.25
Episode 256: ELoss: 7524.02, Recon Loss: 0.21, SAC Loss: 7523.81, Reward: -465.28
Episode 257: ELoss: 7540.18, Recon Loss: 0.21, SAC Loss: 7539.97, Reward: -465.13
Episode 258: ELoss: 7537.62, Recon Loss: 0.20, SAC Loss: 7537.41, Reward: -465.74
Episode 259: ELoss: 7593.20, Recon Loss: 0.20, SAC Loss: 7593.00, Reward: -466.31
Episode 260: ELoss: 7591.11, Recon Loss: 0.20, SAC Loss: 7590.90, Reward: -466.23
Episode 261: ELoss: 7599.38, Recon Loss: 0.20, SAC Loss: 7599.18, Reward: -465.30
Episode 262: ELoss: 7608.92, Recon Loss: 0.20, SAC Loss: 7608.72, Reward: -466.23
Episode 263: ELoss: 7578.89, Recon Loss: 0.20, SAC Loss: 7578.69, Reward: -466.47
